date,open,close,high,low,volume,amount,amplitude_pct,pct_change,change,turnover_pct,source
2025-12-31,57.38,57.74,57.74,56.43,17464,99775703.44,2.29,0.73,0.42,5.00,eastmoney
2026-01-05,57.43,57.73,58.39,57.24,16614,96307352.07,1.99,-0.02,-0.01,4.76,eastmoney
2026-01-06,57.73,58.01,58.73,57.53,15318,89101506.54,2.08,0.49,0.28,4.39,eastmoney
2026-01-07,57.83,58.41,58.99,57.72,17385,101567882.08,2.19,0.69,0.40,4.98,eastmoney
2026-01-08,58.41,58.85,58.92,57.53,15132,88935945.99,2.38,0.75,0.44,4.33,eastmoney
2026-01-09,58.70,59.27,59.47,58.54,20194,119827814.88,1.58,0.71,0.42,5.78,eastmoney
2026-01-12,59.29,58.98,59.43,57.86,19016,111802268.56,2.65,-0.49,-0.29,5.44,eastmoney
2026-01-13,58.96,58.39,59.38,58.21,15749,92802876.05,1.98,-1.00,-0.59,4.51,eastmoney
2026-01-14,58.32,59.29,60.33,58.13,32237,191990401.75,3.77,1.54,0.90,9.23,eastmoney
2026-01-15,59.38,59.71,61.12,58.87,20802,124711044.81,3.79,0.71,0.42,5.96,eastmoney
2026-01-16,60.18,62.53,63.10,59.09,40750,251360377.19,6.72,4.72,2.82,11.67,eastmoney
2026-01-19,62.43,62.56,64.38,61.98,27032,171193666.70,3.84,0.05,0.03,7.74,eastmoney
2026-01-20,62.53,65.06,66.49,62.20,41931,273914838.84,6.86,4.00,2.50,12.01,eastmoney
2026-01-21,64.16,66.61,67.73,63.53,36230,237608453.28,6.46,2.38,1.55,10.37,eastmoney
2026-01-22,65.96,68.72,69.43,65.34,40277,275559634.49,6.14,3.17,2.11,11.53,eastmoney
2026-01-23,68.99,67.78,71.01,67.33,32549,222758790.04,5.36,-1.37,-0.94,9.32,eastmoney
2026-01-26,67.60,67.62,70.83,67.03,41999,289669298.73,5.61,-0.24,-0.16,12.03,eastmoney
2026-01-27,67.63,70.17,70.27,66.81,34825,240983371.73,5.12,3.77,2.55,9.97,eastmoney
2026-01-28,69.84,67.16,69.99,67.01,27691,188757318.62,4.25,-4.29,-3.01,7.93,eastmoney
2026-01-29,66.60,67.98,70.81,66.53,36943,255568530.65,6.37,1.22,0.82,10.58,eastmoney
2026-01-30,67.32,67.77,68.75,65.76,31276,210690397.95,4.40,-0.31,-0.21,8.69,eastmoney
2026-02-02,66.69,64.13,68.03,64.04,27071,178040964.26,5.89,-5.37,-3.64,7.52,eastmoney
2026-02-03,64.82,67.56,68.20,64.82,42622,285328294.38,5.27,5.35,3.43,11.84,eastmoney
2026-02-04,67.14,71.93,72.51,67.14,57172,406289513.34,7.95,6.47,4.37,15.88,eastmoney
2026-02-05,72.42,71.00,72.42,70.02,23785,169493430.40,3.34,-1.29,-0.93,6.61,eastmoney
2026-02-06,70.81,72.69,75.65,70.10,59851,442474710.12,7.82,2.38,1.69,16.62,eastmoney
2026-02-09,72.68,75.28,75.94,69.83,40420,298064807.26,8.41,3.56,2.59,11.22,eastmoney
2026-02-10,75.22,76.36,77.91,74.01,37643,287960981.02,5.18,1.43,1.08,10.45,eastmoney
2026-02-11,76.87,73.76,76.87,73.66,21404,159501239.81,4.20,-3.40,-2.60,5.94,eastmoney
2026-02-12,73.82,73.80,77.31,73.03,27961,210678968.89,5.80,0.05,0.04,7.77,eastmoney
2026-02-13,73.63,71.43,73.63,71.18,18806,136300575.70,3.32,-3.21,-2.37,5.22,eastmoney
2026-02-24,72.15,71.58,72.63,70.17,19007,136066319.81,3.44,0.21,0.15,5.28,eastmoney
2026-02-25,71.83,74.27,74.93,70.63,24762,183390496.60,6.01,3.76,2.69,6.88,eastmoney
2026-02-26,74.23,71.57,74.23,69.83,22927,164246485.42,5.92,-3.64,-2.70,6.37,eastmoney
2026-02-27,70.74,69.51,71.00,68.83,23050,160373268.20,3.03,-2.88,-2.06,6.40,eastmoney
2026-03-02,69.38,69.33,70.19,68.06,17744,122845899.84,3.06,-0.26,-0.18,4.93,eastmoney
2026-03-03,69.85,67.34,70.12,67.30,16863,115210035.87,4.07,-2.87,-1.99,4.68,eastmoney
2026-03-04,66.84,66.01,67.67,65.49,16366,108882259.47,3.24,-1.98,-1.33,4.54,eastmoney
2026-03-05,66.68,65.28,67.11,65.09,12588,82890263.49,3.06,-1.11,-0.73,3.50,eastmoney
2026-03-06,65.28,66.28,67.21,64.94,12463,83153301.63,3.48,1.53,1.00,3.46,eastmoney
